actor,year,polity,eu,gdppc,gdppc_log,gniam,gniam_log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAG,1995,9,0,276.7368024,2.442066919,3820371369,9.582105582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAL,1995,4,0,4405.116764,3.643957425,82974331370,10.91894376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAS,1995,10,0,3599.551751,3.556248422,3899541584,9.591013556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAW,1995,6,0,201.1014086,2.303415113,2379706725,9.376523438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,1995,-7,0,17764.54638,4.249554122,6721418535,9.827460939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,1995,4,0,4002.158718,3.602294308,4.39E+11,11.64246452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLD,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1995,4,0,272.7950323,2.435836457,2591091080,9.413482679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1995,0,0,9171.061035,3.962419584,3668840758,9.564528862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOR,1995,-7,0,1455.950317,3.163146555,35479251079,10.54997444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYA,1995,-5,0,113.7881689,2.056097109,4057734197,9.608283595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZM,1995,5,0,185.9534301,2.269404194,2915102267,9.464653795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,1995,6,0,2478.25374,3.39414577,4009282434,9.603066651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEP,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW,1995,10,0,17399.92902,4.240547477,56139500219,10.74926854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,1995,8,0,876.8598596,2.94293019,2859827219,9.456339795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIG,1995,-6,0,407.2782957,2.609891267,33564129470,10.52587539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIR,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,1995,10,0,34875.94289,4.542525958,1.43E+11,11.15533604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMA,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,1995,8,0,455.5079732,2.658495983,57910023459,10.76275374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAR,1995,7,0,1968.352487,3.294102873,8015431298,9.903926896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,1995,-1,0,2180.566639,3.338569363,47464847265,10.67637209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,1995,8,0,1222.292531,3.087175158,81264040813,10.90989841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
